type,sourceName,value,unit,startDate,endDate,duration,minimum,CardioFitnessMedicationsUse,time,maximum,durationUnit,sum,average,workoutActivityType
HeartRateVariabilitySDNN,Casio G-Shock,60.2534,ms,2022-10-07 23:20:00,10/7/22 23:24,,,,,,,,,
HeartRateVariabilitySDNN,Casio G-Shock,143.82,ms,2022-10-08 06:40:00,10/8/22 6:46,,,,,,,,,
HeartRateVariabilitySDNN,Casio G-Shock,121.121,ms,2022-10-08 09:30:00,10/8/22 9:39,,,,,,,,,
HeartRateVariabilitySDNN,Casio G-Shock,68.932,ms,2022-10-09 23:40:00,10/9/22 23:43,,,,,,,,,
HeartRateVariabilitySDNN,Casio G-Shock,43.9435,ms,2022-10-10 01:00:00,10/10/22 1:09,,,,,,,,,
HeartRateVariabilitySDNN,Casio G-Shock,43.9142,ms,2022-10-10 07:10:00,10/10/22 7:13,,,,,,,,,
HeartRateVariabilitySDNN,Casio G-Shock,65.7206,ms,2022-10-10 09:00:00,10/10/22 9:06,,,,,,,,,
HeartRateVariabilitySDNN,Casio G-Shock,58.4354,ms,2022-10-10 23:10:00,10/10/22 23:19,,,,,,,,,
HeartRateVariabilitySDNN,Casio G-Shock,26.4202,ms,2022-10-11 02:20:00,10/11/22 2:30,,,,,,,,,
HeartRateVariabilitySDNN,Casio G-Shock,60.6399,ms,2022-10-11 03:10:00,10/11/22 3:12,,,,,,,,,
HeartRateVariabilitySDNN,Casio G-Shock,48.1712,ms,2022-10-11 05:20:00,10/11/22 5:30,,,,,,,,,
HeartRateVariabilitySDNN,Casio G-Shock,114.678,ms,2022-10-11 07:00:00,10/11/22 7:06,,,,,,,,,
HeartRateVariabilitySDNN,Casio G-Shock,61.7252,ms,2022-10-11 09:40:00,10/11/22 9:42,,,,,,,,,
HeartRateVariabilitySDNN,Casio G-Shock,68.5587,ms,2022-10-11 20:10:00,10/11/22 20:19,,,,,,,,,
HeartRateVariabilitySDNN,Casio G-Shock,60.8891,ms,2022-10-11 22:00:00,10/11/22 22:01,,,,,,,,,
HeartRateVariabilitySDNN,Casio G-Shock,41.5995,ms,2022-10-13 20:10:00,10/13/22 20:11,,,,,,,,,
HeartRateVariabilitySDNN,Casio G-Shock,60.5938,ms,2022-10-13 20:30:00,10/13/22 20:35,,,,,,,,,
HeartRateVariabilitySDNN,Casio G-Shock,51.6026,ms,2022-10-13 22:30:00,10/13/22 22:36,,,,,,,,,
HeartRateVariabilitySDNN,Casio G-Shock,28.6938,ms,2022-10-14 00:40:00,10/14/22 0:45,,,,,,,,,
HeartRateVariabilitySDNN,Casio G-Shock,29.3527,ms,2022-10-14 02:40:00,10/14/22 2:47,,,,,,,,,
HeartRateVariabilitySDNN,Casio G-Shock,38.5296,ms,2022-10-14 06:10:00,10/14/22 6:20,,,,,,,,,
HeartRateVariabilitySDNN,Casio G-Shock,38.8345,ms,2022-10-14 08:00:00,10/14/22 8:05,,,,,,,,,
